Sensor at x=1555825, y=18926: closest beacon is at x=1498426, y=-85030
Sensor at x=697941, y=3552290: closest beacon is at x=595451, y=3788543
Sensor at x=3997971, y=2461001: closest beacon is at x=3951198, y=2418718
Sensor at x=3818312, y=282332: closest beacon is at x=4823751, y=1061753
Sensor at x=2874142, y=3053631: closest beacon is at x=3074353, y=3516891
Sensor at x=1704479, y=2132468: closest beacon is at x=1749091, y=2000000
Sensor at x=3904910, y=2080560: closest beacon is at x=3951198, y=2418718
Sensor at x=657061, y=3898803: closest beacon is at x=595451, y=3788543
Sensor at x=3084398, y=3751092: closest beacon is at x=3074353, y=3516891
Sensor at x=2582061, y=972407: closest beacon is at x=1749091, y=2000000
Sensor at x=2886721, y=3971936: closest beacon is at x=3074353, y=3516891
Sensor at x=303399, y=548513: closest beacon is at x=-1010425, y=986825
Sensor at x=3426950, y=2290126: closest beacon is at x=3951198, y=2418718
Sensor at x=3132858, y=3592272: closest beacon is at x=3074353, y=3516891
Sensor at x=3773724, y=3751243: closest beacon is at x=3568452, y=3274758
Sensor at x=3987212, y=2416515: closest beacon is at x=3951198, y=2418718
Sensor at x=61559, y=3806326: closest beacon is at x=595451, y=3788543
Sensor at x=2693503, y=2291389: closest beacon is at x=2269881, y=2661753
Sensor at x=3953437, y=2669220: closest beacon is at x=3951198, y=2418718
Sensor at x=763035, y=3997568: closest beacon is at x=595451, y=3788543
Sensor at x=3999814, y=2370103: closest beacon is at x=3951198, y=2418718
Sensor at x=1290383, y=1696257: closest beacon is at x=1749091, y=2000000
Sensor at x=3505508, y=2805537: closest beacon is at x=3568452, y=3274758
Sensor at x=3276207, y=3323122: closest beacon is at x=3568452, y=3274758
Sensor at x=2244609, y=3517499: closest beacon is at x=3074353, y=3516891
Sensor at x=1370860, y=3436382: closest beacon is at x=595451, y=3788543
Sensor at x=3831063, y=3042662: closest beacon is at x=3568452, y=3274758
Sensor at x=551202, y=3971545: closest beacon is at x=595451, y=3788543
Sensor at x=336629, y=2519780: closest beacon is at x=595451, y=3788543
Sensor at x=2033602, y=2882628: closest beacon is at x=2269881, y=2661753
Sensor at x=3939808, y=2478271: closest beacon is at x=3951198, y=2418718
Sensor at x=1958708, y=2370822: closest beacon is at x=1749091, y=2000000
Sensor at x=3039958, y=3574483: closest beacon is at x=3074353, y=3516891
